t,Open,High,Low,Close
2026-08-09 18:55:00+00:00,1920.7,1920.8,1920.7,1920.7
2026-08-09 19:00:00+00:00,1920.8,1921.6,1920.7,1921.6
2026-08-09 19:05:00+00:00,1921.6,1921.6,1921.5,1921.5
2026-08-09 19:10:00+00:00,1921.5,1921.6,1921.0,1921.1
2026-08-09 19:15:00+00:00,1921.1,1921.3,1921.0,1921.3
2026-08-09 19:20:00+00:00,1921.3,1921.5,1921.2,1921.5
2026-08-09 19:25:00+00:00,1921.5,1921.6,1921.5,1921.5
2026-08-09 19:30:00+00:00,1921.5,1922.0,1921.5,1922.0
2026-08-09 19:35:00+00:00,1922.0,1922.3,1921.9,1922.3
2026-08-09 19:40:00+00:00,1922.3,1922.3,1922.1,1922.2
2026-08-09 19:45:00+00:00,1922.2,1922.3,1921.1,1921.5
2026-08-09 19:50:00+00:00,1921.5,1921.7,1921.5,1921.7
2026-08-09 19:55:00+00:00,1921.6,1921.9,1921.6,1921.7
2026-08-09 20:00:00+00:00,1921.7,1921.9,1921.4,1921.5
2026-08-09 20:05:00+00:00,1921.4,1921.5,1921.0,1921.5
2026-08-09 20:10:00+00:00,1921.4,1921.5,1918.7,1918.7
2026-08-09 20:15:00+00:00,1918.7,1918.9,1917.6,1918.9
2026-08-09 20:20:00+00:00,1918.8,1919.9,1918.8,1919.7
2026-08-09 20:25:00+00:00,1919.7,1919.9,1919.2,1919.8
2026-08-09 20:30:00+00:00,1919.9,1920.6,1919.6,1920.3
2026-08-09 20:35:00+00:00,1920.2,1920.4,1919.7,1919.7
2026-08-09 20:40:00+00:00,1919.8,1920.2,1919.7,1919.8
2026-08-09 20:45:00+00:00,1919.7,1920.1,1919.6,1919.8
2026-08-09 20:50:00+00:00,1919.9,1920.1,1919.8,1920.1
2026-08-09 20:55:00+00:00,1920.1,1920.4,1920.0,1920.4
2026-08-09 21:00:00+00:00,1920.4,1920.4,1920.3,1920.4
2026-08-09 21:05:00+00:00,1920.4,1920.4,1919.1,1919.2
2026-08-09 21:10:00+00:00,1919.1,1920.8,1919.1,1920.8
2026-08-09 21:15:00+00:00,1920.8,1920.9,1920.7,1920.9
2026-08-09 21:20:00+00:00,1920.9,1921.6,1920.8,1921.6
2026-08-09 21:25:00+00:00,1921.6,1924.0,1921.6,1923.9
2026-08-09 21:30:00+00:00,1924.0,1924.0,1923.6,1923.7
2026-08-09 21:35:00+00:00,1923.7,1925.0,1923.6,1924.9
2026-08-09 21:40:00+00:00,1925.0,1926.1,1923.8,1925.0
2026-08-09 21:45:00+00:00,1925.0,1926.3,1925.0,1925.7
2026-08-09 21:50:00+00:00,1925.8,1925.8,1924.2,1924.4
2026-08-09 21:55:00+00:00,1924.4,1924.7,1923.9,1924.5
2026-08-09 22:00:00+00:00,1924.5,1926.2,1924.5,1925.2
2026-08-09 22:05:00+00:00,1925.1,1926.5,1925.1,1926.3
2026-08-09 22:10:00+00:00,1926.4,1935.6,1926.0,1932.7
