set,horizon,direction,n,correct,accuracy,hit_rate
executed,5m,LONG,3,2,0.6666666666666666,0.6666666666666666
executed,5m,SHORT,0,0,,
intent,5m,LONG,4,3,0.75,0.75
intent,5m,SHORT,2,1,0.5,0.5
executed,15m,LONG,3,2,0.6666666666666666,0.6666666666666666
executed,15m,SHORT,0,0,,
intent,15m,LONG,4,3,0.75,0.75
intent,15m,SHORT,2,1,0.5,0.5
executed,30m,LONG,2,1,0.5,0.5
executed,30m,SHORT,0,0,,
intent,30m,LONG,3,1,0.3333333333333333,0.3333333333333333
intent,30m,SHORT,2,2,1.0,1.0
executed,1h,LONG,3,2,0.6666666666666666,0.6666666666666666
executed,1h,SHORT,0,0,,
intent,1h,LONG,4,2,0.5,0.5
intent,1h,SHORT,2,1,0.5,0.5
executed,4h,LONG,2,1,0.5,0.5
executed,4h,SHORT,0,0,,
intent,4h,LONG,3,2,0.6666666666666666,0.6666666666666666
intent,4h,SHORT,0,0,,
executed,24h,LONG,0,0,,
executed,24h,SHORT,0,0,,
intent,24h,LONG,0,0,,
intent,24h,SHORT,0,0,,
