set,horizon,horizon_min,n,correct,ties,accuracy,ci95_low,ci95_high,precision,recall,f1,always_long_acc,base_rate_up,n_base
executed,5m,5,3,2,0,0.67,0.33,1.00,0.67,1.00,0.80,0.67,0.67,3
intent,5m,5,6,4,0,0.67,0.50,0.83,0.75,0.75,0.75,0.67,0.67,6
executed,15m,15,3,2,0,0.67,0.33,1.00,0.67,1.00,0.80,0.67,0.67,3
intent,15m,15,6,4,0,0.67,0.50,1.00,0.75,0.75,0.75,0.67,0.67,6
executed,30m,30,2,1,1,0.50,0.50,0.50,0.50,1.00,0.67,0.50,0.50,2
intent,30m,30,5,3,1,0.60,0.40,1.00,0.33,1.00,0.50,0.20,0.20,5
executed,1h,60,3,2,0,0.67,0.67,1.00,0.67,1.00,0.80,0.67,0.67,3
intent,1h,60,6,3,0,0.50,0.50,0.83,0.50,0.67,0.57,0.50,0.50,6
executed,4h,240,2,1,1,0.50,0.50,0.50,0.50,1.00,0.67,0.50,0.50,2
intent,4h,240,3,2,1,0.67,0.67,1.00,0.67,1.00,0.80,0.67,0.67,3
executed,24h,1440,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0
intent,24h,1440,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0
