symbol,strategy,return_pct,buyhold_pct,excess_pct,max_dd_pct,sharpe,fees_usd,trades,final_cash,n_bars
BTC-USD,buyhold,-61.97,-62.56,0.59,75.94,-0.8,135.93,2,37991.69,456
BTC-USD,sma20_50,-35.38,-62.56,27.18,53.02,-0.75,1033.93,14,64560.69,456
BTC-USD,sma50_200,0.0,-62.56,62.56,0.0,0.0,0.0,0,100000.0,456
BTC-USD,sma20_50_longshort,-52.1,-62.56,10.46,74.41,-0.16,1748.0,28,47853.41,456
BTC-USD,momentum20,-29.28,-62.56,33.28,48.89,-0.56,3538.74,52,70648.42,456
BTC-USD,rsi_reversion,-44.25,-62.56,18.31,61.24,-0.5,771.71,12,55754.2,456
BTC-USD,trend_band_10_30,-61.18,-62.56,1.38,76.99,-0.38,2219.12,44,38783.41,456
ETH-USD,buyhold,-63.16,-63.76,0.6,78.64,-0.49,134.74,2,36807.78,456
ETH-USD,sma20_50,-24.2,-63.76,39.56,44.78,-0.23,1005.57,12,75728.66,456
ETH-USD,sma50_200,0.0,-63.76,63.76,0.0,0.0,0.0,0,100000.0,456
ETH-USD,sma20_50_longshort,-60.53,-63.76,3.23,82.25,-0.02,1204.23,24,39430.93,456
ETH-USD,momentum20,-32.39,-63.76,31.37,47.81,-0.32,2989.27,40,67544.29,456
ETH-USD,rsi_reversion,-15.94,-63.76,47.82,70.06,0.08,893.84,12,84063.88,456
ETH-USD,trend_band_10_30,-66.51,-63.76,-2.75,81.94,0.02,1521.86,32,33458.45,456
SPY,buyhold,-11.18,-11.2,0.02,24.26,-0.31,186.73,2,88737.13,313
SPY,sma20_50,-24.83,-11.2,-13.63,24.96,-1.92,831.43,10,75092.2,313
SPY,sma50_200,-1.12,-11.2,10.08,1.24,-0.79,196.79,2,98786.75,313
SPY,sma20_50_longshort,-14.65,-11.2,-3.45,23.85,-0.36,1568.47,18,85263.7,313
SPY,momentum20,-4.1,-11.2,7.1,12.34,-0.2,2644.1,28,95802.82,313
SPY,rsi_reversion,-3.37,-11.2,7.83,19.11,-0.05,744.88,8,96630.54,313
SPY,trend_band_10_30,-14.29,-11.2,-3.09,28.44,-0.34,2109.02,24,85625.08,313
