symbol,strategy,return_pct,buyhold_pct,excess_pct,max_dd_pct,sharpe,sortino,calmar,fees_usd,slippage_usd,trades,n_bars
BTC-USD,momentum20+no_stop,202.51,77.88,124.63,22.56,1.43,1.55,8.98,12406.18,1240.62,62,968
BTC-USD,momentum20+stop8,136.33,77.88,58.45,27.32,1.1,1.06,4.99,10669.49,1066.95,62,968
BTC-USD,momentum20+stop8_take24,116.83,77.88,38.94,26.6,0.99,0.93,4.39,11355.33,1135.53,72,968
BTC-USD,momentum20+stop5_take15,138.55,77.88,60.67,20.15,1.1,1.02,6.88,14159.93,1415.99,86,968
BTC-USD,momentum20+vol_target_2,29.23,77.88,-48.65,5.74,1.21,1.11,5.09,1522.76,152.28,62,968
ETH-USD,momentum20+no_stop,247.94,3.86,244.08,40.35,1.21,1.37,6.15,12491.1,1249.11,56,968
ETH-USD,momentum20+stop8,204.79,3.86,200.93,37.74,1.1,1.24,5.43,13096.1,1309.61,64,968
ETH-USD,momentum20+stop8_take24,165.99,3.86,162.13,36.62,0.97,1.02,4.53,15354.3,1535.43,86,968
ETH-USD,momentum20+stop5_take15,179.79,3.86,175.93,35.0,1.05,1.18,5.14,21172.44,2117.24,108,968
ETH-USD,momentum20+vol_target_2,31.05,3.86,27.19,10.12,1.12,1.17,3.07,1278.44,127.84,64,968
